Geneid;Length;Group;Rep1_ChIP.bam;Rep1_input.bam;Rep2_ChIP.bam;Rep2_input.bam;Rep1_input_norm;Rep1_ChIP_norm;Rep2_input_norm;Rep2_ChIP_norm;Rep1_enriched;Rep2_enriched;Average;SD;z-score;p-value;log10(p-value);rank;p-adj;log2(FC);color
MER92B;266983;LTR/ERV1;89.0;50.0;72.0;38.0;0.00012972019354252876;0.0002281507230327127;9.701797385620914e-05;0.00018486281638500763;1.758791108786879;1.9054491558336788;1.832120132310279;0.07332902352339987;11.347759622692136;1e-16;16.0;249;6.322489959839358e-15;0.8735141042023502;red
LTR18A;217849;LTR/ERVL;67.0;42.0;63.0;41.0;0.00010896496257572416;0.00017175391509204215;0.00010467728758169934;0.00016175496433688168;1.5762306619679092;1.545272791011459;1.5607517264896842;0.015478935478225098;36.22676296302924;1e-16;16.0;250;6.297200000000001e-15;0.6422410616917147;red
HERVL40-int;528067;LTR/ERVL;106.0;81.0;99.0;80.0;0.0002101467135388966;0.00027173007462323086;0.0002042483660130719;0.0002541863725293855;1.2930493655944595;1.2444964799038714;1.2687729227491653;0.024276442845294066;11.071347003429143;1e-16;16.0;252;6.247222222222222e-15;0.34343388750987464;grey
MER115;734211;DNA/hAT-Tip100;213.0;136.0;202.0;137.0;0.00035283892643567824;0.0005460236405164922;0.0003497753267973856;0.0005186429015246047;1.5475153096976424;1.4827886983150158;1.515152004006329;0.03236330569131329;15.917780739703677;1e-16;16.0;254;6.1980314960629924e-15;0.5994625358933506;red
Tigger4a;644671;DNA/TcMar-Tigger;102.0;121.0;108.0;133.0;0.0003139228683729196;0.000261476109543109;0.000339562908496732;0.00027729422457751146;0.8329310664697822;0.8166210667858623;0.8247760666278223;0.008154999841959942;21.486687525191297;1e-16;16.0;256;6.149609375e-15;-0.27792562573410884;grey
LTR1A2;538479;LTR/ERV1;130.0;99.0;113.0;86.0;0.00025684598321420695;0.0003332538651039624;0.0002195669934640523;0.0002901319201598036;1.2974852124747152;1.3213822149789753;1.3094337137268452;0.011948501252130095;25.897282612886833;1e-16;16.0;257;6.125680933852141e-15;0.3889430292967291;grey
LTR30;156825;LTR/ERV1;34.0;28.0;24.0;20.0;7.264330838381611e-05;8.715870318103632e-05;5.1062091503267975e-05;6.162093879500255e-05;1.1998173695576622;1.2067844653613298;1.203300917459496;0.0034835479018338056;58.36030483533024;1e-16;16.0;260;6.055e-15;0.26699747197271995;grey
ERVL-E-int;5203864;LTR/ERVL;903.0;754.0;964.0;829.0;0.001956180518621334;0.0023148326168375235;0.0021165236928104574;0.0024751077082659353;1.1833430477412987;1.1694212149259369;1.1763821313336178;0.006960916407680928;25.33892392946873;1e-16;16.0;263;5.9859315589353615e-15;0.23435677567545776;grey
L1M3;3309897;LINE/L1;399.0;496.0;461.0;555.0;0.0012868243199418853;0.0010228330167421614;0.0014169730392156862;0.0011836355326873406;0.7948505486656904;0.8353267845819415;0.815088666623816;0.02023811795812558;9.136785038943918;1e-16;16.0;264;5.963257575757576e-15;-0.29497108837725433;grey
L1ME3D;1845377;LINE/L1;230.0;304.0;235.0;297.0;0.0007886987767385749;0.0005896029921070104;0.0007582720588235294;0.0006033716923677332;0.7475642279364692;0.7957192742982955;0.7716417511173823;0.024077523180913163;9.484291518142648;1e-16;16.0;267;5.89625468164794e-15;-0.37399688968019346;grey
MLT1A;3706083;LTR/ERVL-MaLR;852.0;774.0;815.0;743.0;0.0020080685960383454;0.002184094562065969;0.0018969566993464052;0.002092544379913628;1.0876593391156555;1.1031060332766753;1.0953826861961655;0.007723347080509924;12.349915807469838;1e-16;16.0;268;5.874253731343284e-15;0.13143498217770266;grey
SVA_D;999194;Retroposon/SVA;216.0;95.0;183.0;85.0;0.00024646836773080464;0.0005537141143265836;0.00021701388888888888;0.0004698596583118944;2.2465930189116845;2.1651133055012095;2.205853162206447;0.0407398567052375;29.598856248589183;1e-16;16.0;269;5.852416356877324e-15;1.1413367577437548;red
